specialization,title,company,salary,location,office,remote,years_of_experience,skills
python,Python-розробник (Scraping/Automation/API/FastAPI),Amazon 2.0,15000–25000,0,0,1,0,"MySQL,Git,Python,PostgreSQL,Google Sheets,Google API,MongoDB,Docker,REST API,REST,Selenium,Робота з базою даних,Backend-розробка,Beautiful Soup,aiogram,FastAPI,Продуктивність,Playwright,Pydantic,Web Scraping"
python,"Junior Python Developer (AI, Django, API, Automation, Bots, Scrapers)","Мельник О.І., ФОП (IT-компанія)",20000–30000,0,0,1,1,"Ведення CRM,Python,Django,Здатність до навчання,Selenium,Scrapy,Beautiful Soup,Playwright,REST API"
python,Junior Python Developer,Devpower,25000–40000,0,0,1,1,0
python,"Python developer (Django, FastAPI)",UncleSolutions,43000–84000,0,0,1,1,"Python,PostgreSQL,MongoDB,Django,REST API,REST,Робота з базою даних,AWS,FastAPI,SOLID Principles"
javascript,"Trainee, Junior розробник (AI, JS, Google Sheets, GAS)",Chaika Consult,15000–40000,0,0,1,0,"Уважність,Користувач ChatGPT"
javascript,Junior Javascript Developer (Intern),ITeam,0,Київ,1,0,0,"CSS,JavaScript,HTML,Відповідальність,TypeScript,REST API,REST,ECMAScript,Angular,Уважність,Бажання вчитися і розвиватися"
javascript,Javascript developer (стажер),Fernir,0,0,0,1,0,"JavaScript,GitLab,TypeScript,Програмування,Уміння аналізувати,ESLint,Бажання вчитися і розвиватися"
python,Python-програміст,MagneticOne Municipal Technologies,0,0,0,1,0,"CSS,MS Excel,Java,HTML,PHP,Python,JSON,Google Sheets,Google API,Google Cloud Platform,Postman,Робота в команді,Здатність до навчання,REST API,REST,Програмування,Робота з базою даних,pandas,NumPy,CSV"
python,"Програміст C, C++, Python у Черкаси",Цвіт,20000–25000,Черкаси,1,0,0,"Python,C++,Відповідальність,Програмування,Уважність,Надійність,Бажання вчитися і розвиватися,C/C++,Стресостійкість,Здатність до навчання,Комунікабельність"
python,Python developer,Stake4Cake,50000–100000,Київ,1,0,0,"Користувач ОС Linux,Python,Grafana,Rust"
python,"Викладач в школу програмування (Scratch, Python, геймдизайн)","Logika, школа програмування та англійської мови для дiтей",10000–15000,Ірпінь,1,0,0,"Python,Активність,Програмування,Креативність,Творчий підхід,Scratch,Викладання"
python,"Викладач напрямків для аналітика даних (Power BI, SQL, Excel, Python, онлайн)","Тройно О.Г., ФОП",15000,0,0,1,0,"MS Excel,SQL,Python,MS Power BI,Викладання"
python,Викладач Python для дітей,Академія Професій Майбутнього,0,0,0,1,1,"Комунікабельність,Відповідальність,Цілеспрямованість"
python,"Викладач в школу програмування (Scratch, Python, геймдизайн)","Logika, школа програмування та англійської мови для дiтей",10000–15000,Буча,1,0,0,"Python,Активність,Програмування,Креативність,Творчий підхід,Scratch,Викладання"
python,"Викладач програмування, інформатики Python та Roblox",Академія Професій Майбутнього (Черкаси),0,Черкаси,1,0,0,"Python,Комунікабельність,Програмування,Викладання,Roblox,Проведення групових занять"
python,Python-програміст,"NikCode, LLC",50000–135000,0,0,1,2,"GitHub,Python,PostgreSQL,React,Docker,Вправний,PyTest,Next.js,FastAPI,Продуктивність,Розробка API,CI/CD,GitHub Actions,Застосування штучного інтелекту,LangChain"
javascript,"FullStack Node.js, JS Developer",Rademade,0,0,0,1,2,"JavaScript,Scrum,Agile,Відповідальність,MongoDB,Node.js,Docker,REST API,Frontend-розробка,WebSocket,SOLID Principles,CI/CD"
javascript,"Vue JS developer (Strong Junior, Middle)","dZENcode, IT-Company",20000–60000,0,0,1,1,"JavaScript,Ведення CRM,Git,Python,Відповідальність,Node.js,Vue.js,ECMAScript,Працьовитість,Jest,WebSocket,Solidity"
javascript,JS Developer,New Normal,58000–147000,Черкаси,1,0,1,"JavaScript,OpenAI,Node.js,Next.js"
javascript,"Trainee/Junior Front-End JavaScript Developer (React, Relocate)",Інсайдери,0,Львів,1,0,1,"CSS,JavaScript,HTML,Git,GitHub,React,Комунікабельність,npm,REST,Дизайн,Frontend-розробка,UI-дизайн,Робота в команді,Yarn,Next.js,SOLID Principles"
java,Колорист,"Ява-Ін, ТОВ",30000–60000,Київ,1,0,0,"Відповідальність,Робота в команді,Уважність,Знання колористики"
python,"Backend Developer, військовослужбовець (Python/Odoo, центр логістичних рішень)","Хартія, 13-та БрОП НГУ",25000–75000,Вся Україна,1,0,2,"Git,Python,PostgreSQL,XML,Відповідальність,Docker,REST,Уважність,Аналітичне мислення,Організація логістики,ORM,SQLAlchemy,Інвентаризація,Odoo,Проактивність,Самостійність,CSV"
javascript,Junior JavaScript Developer,CodeNest,32000,Київ,1,0,67496,"CSS,JavaScript,HTML,jQuery,Верстка,DOM,Бажання вчитися і розвиватися,Адаптивність,Пунктуальність"
javascript,Javascript-програміст,Simo Repair,0,0,0,1,0,"Java,SQL,PostgreSQL,Знання принципів ООП,Програмування"
javascript,"Trainee, Junior, Middle Full Stack JavaScript Developer (Node, React, Relocate)",Інсайдери,0,Львів,1,0,0,"CSS,JavaScript,HTML,MySQL,Git,PostgreSQL,React,MongoDB,Node.js,TypeScript,REST API,REST,Redis,Frontend-розробка,Next.js,SOLID Principles,NestJS"
javascript,"Trainee, Junior, Middle Full Stack JavaScript Developer (Node, React)",Інсайдери,0,Львів,1,0,1,"CSS,JavaScript,HTML,MySQL,PostgreSQL,React,MongoDB,Node.js,TypeScript,REST API,REST,Redis,SOLID Principles"
javascript,Розробник Full stack (ASP.NET/.NET Core&JS),Linkos Group,0,Київ,1,0,1,"CSS,JavaScript,HTML,SQL,Git,Bootstrap,C#,AJAX,PostgreSQL,jQuery,Знання принципів ООП,REST API,REST,Цілеспрямованість,Доброзичливість,ASP"
javascript,"Frontend Developer (Vite, React, TypeScript, HTML, CSS, Javascript)",GS4B (Global Solutions for your Business),0,0,0,1,0,"CSS,JavaScript,HTML,Git,SASS,React,React Router,LESS,TypeScript,HTTP,REST API,Дизайн,Frontend-розробка"
javascript,Middle React Native Developer,Юнiк Трейд,0,0,0,1,2,"JavaScript,Git,React,React Native,React Redux,Redux,Redux Toolkit,Node.js,TypeScript,SQLite,REST API,REST,Angular,WebSocket,NestJS,Продуктивність,React Query,Zustand"
javascript,JavaScript developer (GameDev),"Еліан, ТОВ",0,Київ,1,0,0,"JavaScript,HTML,CSS"
javascript,"Senior Automation QA Engineer (JavaScript, TypeScript)",Mirko,0,0,0,1,5,"JavaScript,Комунікабельність,TypeScript,REST,Тестування API,AWS,Test Suite,Акуратність,Регресійне тестування,Development tools,Automation testing tools,GraphQL,Тестування мобільних застосунків,Jest,WebSocket,Backend-розробка,Автоматизоване тестування,Надійність,CI/CD,Debugging,Blockchain,QA Automation"
javascript,Full-Stack JavaScript Developer,OMD Systems,0,0,0,1,5,"Redis,Firebase,Next.js,CI/CD,Асинхронне програмування"
